moisture0,moisture1,moisture2,moisture3,moisture4,irrgation,datetime
0.33,0.4,0.36,0.23,0.02,False,2020-03-06 22:16:11
0.32,0.39,0.35,0.23,0.02,False,2020-03-06 22:17:11
0.31,0.39,0.34,0.22,0.02,False,2020-03-06 22:18:11
0.3,0.38,0.33,0.21,0.02,False,2020-03-06 22:19:11
0.29,0.38,0.33,0.21,0.02,False,2020-03-06 22:20:11
0.28,0.38,0.33,0.21,0.02,False,2020-03-06 22:21:11
0.28,0.37,0.33,0.2,0.02,False,2020-03-06 22:22:12
0.27,0.37,0.33,0.19,0.02,False,2020-03-06 22:23:12
0.3,0.38,0.35,0.2,0.03,False,2020-03-06 22:24:12
0.26,0.36,0.34,0.17,0.02,False,2020-03-06 22:25:12
0.26,0.36,0.34,0.17,0.02,False,2020-03-06 22:26:12
0.25,0.36,0.34,0.17,0.02,False,2020-03-06 22:27:12
0.25,0.36,0.34,0.17,0.02,False,2020-03-06 22:28:12
0.25,0.36,0.34,0.17,0.02,False,2020-03-06 22:29:12
0.24,0.36,0.34,0.16,0.02,False,2020-03-06 22:30:12
0.24,0.36,0.33,0.16,0.02,False,2020-03-06 22:31:12
0.24,0.36,0.29,0.16,0.02,False,2020-03-06 22:32:12
0.23,0.36,0.3,0.15,0.02,False,2020-03-06 22:33:12
0.23,0.36,0.29,0.18,0.03,False,2020-03-06 22:34:12
0.23,0.36,0.29,0.15,0.02,False,2020-03-06 22:35:12
0.23,0.36,0.29,0.15,0.02,False,2020-03-06 22:36:12
0.23,0.36,0.29,0.15,0.02,False,2020-03-06 22:37:12
0.23,0.36,0.29,0.15,0.02,False,2020-03-06 22:38:12
0.23,0.36,0.29,0.15,0.02,False,2020-03-06 22:39:12
0.23,0.36,0.29,0.15,0.02,False,2020-03-06 22:40:12
0.23,0.36,0.28,0.15,0.02,False,2020-03-06 22:41:12
0.22,0.36,0.28,0.15,0.02,False,2020-03-06 22:42:13
0.22,0.36,0.28,0.15,0.02,False,2020-03-06 22:43:13
0.22,0.36,0.28,0.15,0.02,False,2020-03-06 22:44:13
0.22,0.36,0.28,0.15,0.02,False,2020-03-06 22:45:13
0.22,0.36,0.28,0.15,0.02,False,2020-03-06 22:46:13
0.22,0.36,0.28,0.15,0.02,False,2020-03-06 22:47:13
0.22,0.36,0.28,0.15,0.02,False,2020-03-06 22:48:13
0.22,0.36,0.28,0.15,0.02,False,2020-03-06 22:49:13
